Employee_Number,Position,Dept,Dept_Description,Proj_Division,BU,Annual_Leave_Entitlement,Leave_Code,Leave_Type,Leave_Type_Description,From,To,Days,Total_No_of_Leave_Days,Remarks,BU_Entry_Date,Employee_Type
0038705,Sr Project Manager,90087,Foundations Management,FDN-HF,13850,AL24,AL-MP,AL,Annual Leave,2021-07-22T00:00:00Z,2021-07-22T00:00:00Z,0.5,NULL,PM,43101,Monthly Paid
0038705,Sr Project Manager,90087,Foundations Management,FDN-HF,13850,AL24,AL-MP,AL,Annual Leave,2021-07-23T00:00:00Z,2021-07-23T00:00:00Z,0.5,NULL,PM,43101,Monthly Paid
0038705,Sr Project Manager,90087,Foundations Management,FDN-HF,13850,AL24,AL-MP,AL,Annual Leave,2021-07-24T00:00:00Z,2021-07-24T00:00:00Z,0.5,NULL,PM,43101,Monthly Paid
0038705,Sr Project Manager,90087,Foundations Management,FDN-HF,13850,AL24,AL-MP,AL,Annual Leave,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z,0.5,NULL,PM,43101,Monthly Paid
0038705,Sr Project Manager,90087,Foundations Management,FDN-HF,13850,AL24,AL-MP,AL,Annual Leave,2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,0.5,NULL,PM,43101,Monthly Paid
0038705,Sr Project Manager,90087,Foundations Management,FDN-HF,13850,AL24,AL-MP,AL,Annual Leave,2021-10-23T00:00:00Z,2021-10-23T00:00:00Z,0.5,NULL,PM,43101,Monthly Paid
0038705,Sr Project Manager,90087,Foundations Management,FDN-HF,13850,AL24,AL-MP,AL,Annual Leave,2021-09-04T00:00:00Z,2021-09-04T00:00:00Z,0.5,NULL,AM,43101,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-09-01T00:00:00Z,2021-09-01T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-09-24T00:00:00Z,2021-09-24T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0430955,Asst Project Manager,90088,Building Management,BDG,13860,AL21,AL-MP,AL,Annual Leave,2021-12-04T00:00:00Z,2021-12-04T00:00:00Z,0.5,NULL,PM,43213,Monthly Paid
0430955,Asst Project Manager,90088,Building Management,BDG,13860,AL21,AL-MP,AL,Annual Leave,2021-12-25T00:00:00Z,2021-12-25T00:00:00Z,0.5,NULL,PM,43213,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-10-09T00:00:00Z,2021-10-09T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-10-10T00:00:00Z,2021-10-10T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-10-20T00:00:00Z,2021-10-20T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-11-13T00:00:00Z,2021-11-13T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,0.5,NULL,PM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-11-25T00:00:00Z,2021-11-25T00:00:00Z,0.5,NULL,AM,43334,Monthly Paid
0038711,Site Administrator,90087,Foundations Management,FDN-GE,13040,AL12,AL-MP,AL,Annual Leave,2021-12-22T00:00:00Z,2021-12-22T00:00:00Z,0.5,NULL,AM,43334,Monthly Paid
0430955,Asst Project Manager,90088,Building Management,BDG,13860,AL21,AL-MP,AL,Annual Leave,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,0.5,NULL,AM,43213,Monthly Paid
0410054,Design Team Leader (Facade),92188,Facade - Management,FAC,13768,AL21,AL-MP,AL,Annual Leave,2021-08-30T00:00:00Z,2021-08-30T00:00:00Z,0.5,NULL,AM,43467,Monthly Paid
0410054,Design Team Leader (Facade),92188,Facade - Management,FAC,13768,AL21,AL-MP,AL,Annual Leave,2021-09-13T00:00:00Z,2021-09-13T00:00:00Z,0.5,NULL,AM,43467,Monthly Paid
0410054,Design Team Leader (Facade),92188,Facade - Management,FAC,13768,AL21,AL-MP,AL,Annual Leave,2021-10-11T00:00:00Z,2021-10-11T00:00:00Z,0.5,NULL,AM,43467,Monthly Paid
0410054,Design Team Leader (Facade),92188,Facade - Management,FAC,13768,AL21,AL-MP,AL,Annual Leave,2021-11-08T00:00:00Z,2021-11-08T00:00:00Z,0.5,NULL,AM,43467,Monthly Paid
0410054,Design Team Leader (Facade),92188,Facade - Management,FAC,13768,AL21,AL-MP,AL,Annual Leave,2021-11-22T00:00:00Z,2021-11-22T00:00:00Z,0.5,NULL,AM,43467,Monthly Paid
0410054,Design Team Leader (Facade),92188,Facade - Management,FAC,13768,AL21,AL-MP,AL,Annual Leave,2021-12-05T00:00:00Z,2021-12-05T00:00:00Z,0.5,NULL,AM,43467,Monthly Paid
0392540,Asst Project Manager,90088,Building Management,BDG,13683,AL21,AL-MP,AL,Annual Leave,2021-09-10T00:00:00Z,2021-09-10T00:00:00Z,0.5,NULL,PM,42982,Monthly Paid
0392540,Asst Project Manager,90088,Building Management,BDG,13683,AL21,AL-MP,AL,Annual Leave,2021-11-30T00:00:00Z,2021-11-30T00:00:00Z,0.5,NULL,AM,42982,Monthly Paid
0392540,Asst Project Manager,90088,Building Management,BDG,13683,AL21,AL-MP,AL,Annual Leave,2021-08-21T00:00:00Z,2021-08-21T00:00:00Z,0.5,NULL,PM,42982,Monthly Paid
0392540,Asst Project Manager,90088,Building Management,BDG,13683,AL21,AL-MP,AL,Annual Leave,2021-08-28T00:00:00Z,2021-08-28T00:00:00Z,0.5,NULL,PM,42982,Monthly Paid
0202944,Site Administrator,90088,Building Management,BDG,13889,AL12,AL-MP,AL,Annual Leave,2021-09-18T00:00:00Z,2021-09-18T00:00:00Z,0.5,NULL,NULL,42795,Monthly Paid
0202944,Site Administrator,90088,Building Management,BDG,13889,AL12,AL-MP,AL,Annual Leave,2021-09-18T00:00:00Z,2021-09-18T00:00:00Z,0.5,NULL,PM,42795,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,AL-MP,AL,Annual Leave,2021-09-04T00:00:00Z,2021-09-04T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,AL-MP,AL,Annual Leave,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,AL-MP,AL,Annual Leave,2021-10-22T00:00:00Z,2021-10-22T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,AL-MP,AL,Annual Leave,2021-11-26T00:00:00Z,2021-11-26T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,AL-MP,AL,Annual Leave,2021-12-03T00:00:00Z,2021-12-03T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,OL-MP,SRD,Substitute Rest Day,2021-09-16T00:00:00Z,2021-09-16T00:00:00Z,0.5,1,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,OL-MP,SRD,Substitute Rest Day,2021-09-30T00:00:00Z,2021-09-30T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0203356,Sr Site Agent,90088,Building Management,E&M,13688,AL21,AL-MP,AL,Annual Leave,2021-08-06T00:00:00Z,2021-08-06T00:00:00Z,0.5,NULL,AM,42948,Monthly Paid
0203356,Sr Site Agent,90088,Building Management,E&M,13688,AL21,AL-MP,AL,Annual Leave,2021-09-10T00:00:00Z,2021-09-10T00:00:00Z,0.5,NULL,AM,42948,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-07-18T00:00:00Z,2021-07-18T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-07-25T00:00:00Z,2021-07-25T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-07-28T00:00:00Z,2021-07-28T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-08-02T00:00:00Z,2021-08-02T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-08-16T00:00:00Z,2021-08-16T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-08-30T00:00:00Z,2021-08-30T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-09-08T00:00:00Z,2021-09-08T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-09-13T00:00:00Z,2021-09-13T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-09-20T00:00:00Z,2021-09-20T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-09-26T00:00:00Z,2021-09-26T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,SL1-MP,SL,Sick Leave,2021-07-17T00:00:00Z,2021-07-17T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,SL1-MP,SL,Sick Leave,2021-08-13T00:00:00Z,2021-08-13T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-10-18T00:00:00Z,2021-10-18T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-11-01T00:00:00Z,2021-11-01T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-11-15T00:00:00Z,2021-11-15T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,AL-MP,AL,Annual Leave,2021-08-06T00:00:00Z,2021-08-06T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0202946,Bldg Services Manager,90088,Building Management,BDG,13777,AL21,AL-MP,AL,Annual Leave,2021-08-07T00:00:00Z,2021-08-07T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-11-29T00:00:00Z,2021-11-29T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-12-05T00:00:00Z,2021-12-05T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203382,Construction Manager,90088,Building Management,BDG,13836,AL24,AL-MP,AL,Annual Leave,2021-12-19T00:00:00Z,2021-12-19T00:00:00Z,0.5,NULL,AM,42583,Monthly Paid
0203388,Asst Accountant,90022,Finance,GSM,90046,AL12,SL1-MP,SL,Sick Leave,2021-07-23T00:00:00Z,2021-07-23T00:00:00Z,0.5,NULL,PM,38859,Monthly Paid
0203464,Sr Fitter Foreman,90088,Building Management,E&M,13688,AL18,AL-MP,AL,Annual Leave,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,0.5,NULL,PM,43132,Monthly Paid
0203464,Sr Fitter Foreman,90088,Building Management,E&M,13688,AL18,AL-MP,AL,Annual Leave,2021-10-22T00:00:00Z,2021-10-22T00:00:00Z,0.5,NULL,PM,43132,Monthly Paid
0203748,Bldg Services Manager,90086,Civil Management,CVL,15230,AL21,AL-MP,AL,Annual Leave,2021-07-28T00:00:00Z,2021-07-28T00:00:00Z,0.5,NULL,PM,43353,Monthly Paid
0203748,Bldg Services Manager,90086,Civil Management,CVL,15230,AL21,AL-MP,AL,Annual Leave,2021-12-26T00:00:00Z,2021-12-26T00:00:00Z,0.5,NULL,AM,43353,Monthly Paid
0203748,Bldg Services Manager,90086,Civil Management,CVL,15230,AL21,AL-MP,AL,Annual Leave,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z,0.5,NULL,AM,43353,Monthly Paid
0203748,Bldg Services Manager,90086,Civil Management,CVL,15230,AL21,AL-MP,AL,Annual Leave,2021-09-06T00:00:00Z,2021-09-06T00:00:00Z,0.5,NULL,AM,43353,Monthly Paid
0203748,Bldg Services Manager,90086,Civil Management,CVL,15230,AL21,AL-MP,AL,Annual Leave,2021-09-18T00:00:00Z,2021-09-18T00:00:00Z,0.5,NULL,PM,43353,Monthly Paid
0203748,Bldg Services Manager,90086,Civil Management,CVL,15230,AL21,AL-MP,AL,Annual Leave,2021-12-08T00:00:00Z,2021-12-08T00:00:00Z,0.5,NULL,PM,43353,Monthly Paid
0052468,Tea Attendant,90086,Civil Management,CVL,13880,AL14,OL-MP,SRD,Substitute Rest Day,2021-07-18T00:00:00Z,2021-07-18T00:00:00Z,0.5,NULL,AM,43375,Monthly Paid
0038150,General Foreman,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-08-27T00:00:00Z,2021-08-27T00:00:00Z,0.5,NULL,PM,43284,Monthly Paid
0038150,General Foreman,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-11-17T00:00:00Z,2021-11-17T00:00:00Z,0.5,NULL,PM,43284,Monthly Paid
0038150,General Foreman,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-11-27T00:00:00Z,2021-11-27T00:00:00Z,0.5,NULL,PM,43284,Monthly Paid
0038153,Sr Const. Supervisor,90043,Steel Fabrication,SFB,90043,AL18,AL-MP,AL,Annual Leave,2021-08-27T00:00:00Z,2021-08-27T00:00:00Z,0.5,NULL,PM,37469,Monthly Paid
0038154,Project Manager,90043,Steel Fabrication,SFB,90043,AL24,AL-MP,AL,Annual Leave,2021-08-05T00:00:00Z,2021-08-05T00:00:00Z,0.5,NULL,PM,37469,Monthly Paid
0038154,Project Manager,90043,Steel Fabrication,SFB,90043,AL24,AL-MP,AL,Annual Leave,2021-10-08T00:00:00Z,2021-10-08T00:00:00Z,0.5,NULL,PM,37469,Monthly Paid
0038154,Project Manager,90043,Steel Fabrication,SFB,90043,AL24,AL-MP,AL,Annual Leave,2021-08-27T00:00:00Z,2021-08-27T00:00:00Z,0.5,NULL,PM,37469,Monthly Paid
0038154,Project Manager,90043,Steel Fabrication,SFB,90043,AL24,AL-MP,AL,Annual Leave,2021-11-28T00:00:00Z,2021-11-28T00:00:00Z,0.5,NULL,PM,37469,Monthly Paid
0038154,Project Manager,90043,Steel Fabrication,SFB,90043,AL24,AL-MP,AL,Annual Leave,2021-12-16T00:00:00Z,2021-12-16T00:00:00Z,0.5,NULL,PM,37469,Monthly Paid
0038155,Project Manager,90087,Foundations Management,FDN-GE,13040,AL24,AL-MP,AL,Annual Leave,2021-08-13T00:00:00Z,2021-08-13T00:00:00Z,0.5,NULL,PM,42309,Monthly Paid
0038155,Project Manager,90087,Foundations Management,FDN-GE,13040,AL24,AL-MP,AL,Annual Leave,2021-08-16T00:00:00Z,2021-08-16T00:00:00Z,0.5,NULL,AM,42309,Monthly Paid
0038155,Project Manager,90087,Foundations Management,FDN-GE,13040,AL24,AL-MP,AL,Annual Leave,2021-08-20T00:00:00Z,2021-08-20T00:00:00Z,0.5,NULL,PM,42309,Monthly Paid
0038155,Project Manager,90087,Foundations Management,FDN-GE,13040,AL24,AL-MP,AL,Annual Leave,2021-08-23T00:00:00Z,2021-08-23T00:00:00Z,0.5,NULL,AM,42309,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,AL-MP,AL,Annual Leave,2021-09-12T00:00:00Z,2021-09-12T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,AL-MP,AL,Annual Leave,2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,AL-MP,AL,Annual Leave,2021-10-16T00:00:00Z,2021-10-16T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,AL-MP,AL,Annual Leave,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,AL-MP,AL,Annual Leave,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,AL-MP,AL,Annual Leave,2021-11-20T00:00:00Z,2021-11-20T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023776,Procurement Officer,90017,Procurement,PRO,90017,AL18,AL-MP,AL,Annual Leave,2021-11-13T00:00:00Z,2021-11-13T00:00:00Z,0.5,NULL,PM,37681,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,OL-MP,SRD,Substitute Rest Day,2021-07-21T00:00:00Z,2021-07-21T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,OL-MP,SRD,Substitute Rest Day,2021-09-01T00:00:00Z,2021-09-01T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023775,"Sr Manager, Tech Arch & Infra",90023,Integrated Data Technologies,IDT,90023,AL24,OL-MP,SRD,Substitute Rest Day,2021-12-14T00:00:00Z,2021-12-14T00:00:00Z,0.5,NULL,PM,37588,Monthly Paid
0023776,Procurement Officer,90017,Procurement,PRO,90017,AL18,AL-MP,AL,Annual Leave,2021-07-07T00:00:00Z,2021-07-07T00:00:00Z,0.5,NULL,AM,37681,Monthly Paid
0023777,Procurement Manager,90017,Procurement,PRO,90017,AL24,AL-MP,AL,Annual Leave,2021-10-09T00:00:00Z,2021-10-09T00:00:00Z,0.5,NULL,PM,39944,Monthly Paid
0023777,Procurement Manager,90017,Procurement,PRO,90017,AL24,AL-MP,AL,Annual Leave,2021-11-25T00:00:00Z,2021-11-25T00:00:00Z,0.5,NULL,PM,39944,Monthly Paid
0023784,Site Administration Officer,90088,Building Management,BDG,13693,AL18,AL-MP,AL,Annual Leave,2021-09-22T00:00:00Z,2021-09-22T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-07-18T00:00:00Z,2021-07-18T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-07-25T00:00:00Z,2021-07-25T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-08-09T00:00:00Z,2021-08-09T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023784,Site Administration Officer,90088,Building Management,BDG,13693,AL18,AL-MP,AL,Annual Leave,2021-09-29T00:00:00Z,2021-09-29T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0023784,Site Administration Officer,90088,Building Management,BDG,13693,AL18,AL-MP,AL,Annual Leave,2021-12-08T00:00:00Z,2021-12-08T00:00:00Z,0.5,NULL,PM,42583,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-08-23T00:00:00Z,2021-08-23T00:00:00Z,0.5,NULL,PM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-09-06T00:00:00Z,2021-09-06T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-09-20T00:00:00Z,2021-09-20T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-10-18T00:00:00Z,2021-10-18T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-11-01T00:00:00Z,2021-11-01T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-11-29T00:00:00Z,2021-11-29T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-12-12T00:00:00Z,2021-12-12T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023790,Site Administrator,90046,CSD Central,GSM,90046,AL12,AL-MP,AL,Annual Leave,2021-12-26T00:00:00Z,2021-12-26T00:00:00Z,0.5,NULL,AM,39753,Monthly Paid
0023791,Project Manager,90086,Civil Management,CVL,15230,AL24,AL-MP,AL,Annual Leave,2021-09-15T00:00:00Z,2021-09-15T00:00:00Z,0.5,NULL,PM,43344,Monthly Paid
0023791,Project Manager,90086,Civil Management,CVL,15230,AL24,AL-MP,AL,Annual Leave,2021-10-22T00:00:00Z,2021-10-22T00:00:00Z,0.5,NULL,PM,43344,Monthly Paid
0023791,Project Manager,90086,Civil Management,CVL,15230,AL24,AL-MP,AL,Annual Leave,2021-12-02T00:00:00Z,2021-12-02T00:00:00Z,0.5,NULL,PM,43344,Monthly Paid
0030260,Asst Project Manager,90086,Civil Management,CVL,13880,AL21,AL-MP,AL,Annual Leave,2021-07-08T00:00:00Z,2021-07-08T00:00:00Z,0.5,NULL,PM,43353,Monthly Paid
0038444,Sr Planning Manager,90088,Building Management,BDG,13588,AL24,AL-MP,AL,Annual Leave,2021-12-02T00:00:00Z,2021-12-02T00:00:00Z,0.5,NULL,PM,42948,Monthly Paid
0064458,Project Manager,90088,Building Management,BDG,13693,AL24,AL-MP,AL,Annual Leave,2021-10-14T00:00:00Z,2021-10-14T00:00:00Z,0.5,NULL,PM,43040,Monthly Paid
0064987,Sr Foreman,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-08-11T00:00:00Z,2021-08-11T00:00:00Z,0.5,NULL,PM,43479,Monthly Paid
0064987,Sr Foreman,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-08-29T00:00:00Z,2021-08-29T00:00:00Z,0.5,NULL,PM,43479,Monthly Paid
0064987,Sr Foreman,90086,Civil Management,CVL,15230,AL18,SL1-MP,SL,Sick Leave,2021-12-14T00:00:00Z,2021-12-14T00:00:00Z,0.5,NULL,PM,43479,Monthly Paid
0066056,Asst Project Manager,90086,Civil Management,CVL,15207,AL21,AL-MP,AL,Annual Leave,2021-07-28T00:00:00Z,2021-07-28T00:00:00Z,0.5,NULL,AM,40865,Monthly Paid
